Image Name,Total Words,Recognized Words,Word Recognition Rate (%)
pic 2,12,8,66.67%
IMG_9812,3,3,100.00%
IMG_9815,6,6,100.00%
IMG_9816,6,6,100.00%
IMG_9818,2,2,100.00%
IMG_9820,3,3,100.00%
IMG_9821,6,6,100.00%
IMG_9822,6,6,100.00%
IMG_9824,6,6,100.00%
IMG_9825,3,3,100.00%
IMG_9823,6,6,100.00%
0A94950D-422F-49C6-A532-B7CFDF1943E4,6,3,50.00%
0DD3F2CB-C26A-443E-B405-B3FE157AAE9D,2,2,100.00%
0FE64D39-090E-4ECD-9517-70E126DBB67F,3,3,100.00%
3BFF08EA-CB49-411B-8EA6-C7CACC204CAC,18,18,100.00%
3F52C436-1E0E-48EA-A292-F884298E5E7E,5,5,100.00%
5A3B6ECA-4A7E-45B0-81BE-E206086460C7,6,0,0.00%
6F153F5D-3F75-4166-A3DE-4F500AF19DF3,17,17,100.00%
7EE96909-CAA4-41E1-B286-E326E3D86234,9,5,55.56%
26A62BF0-B01D-4D54-956B-14079FA81301,5,3,60.00%
42B1016F-5F5D-4EDD-A2C3-2CE198B3F2BA,3,3,100.00%
94C18ED9-3A33-4E98-961C-0F3128357C0C,6,6,100.00%
178E646E-2983-4EE6-959A-BFE81EE1A343,6,1,16.67%
370B5D27-05D3-4E34-95AA-6DE4D7133220,6,6,100.00%
2927D871-AC25-4E8F-BED3-12ED547B489D,6,5,83.33%
08708F6A-C3BA-4187-B5C9-061DE38C64E7,5,4,80.00%
49884BBA-FF94-4CE0-A6A7-657BE0C901F8,6,6,100.00%
6525130A-B007-4F98-81FD-0095612FDD8C,6,4,66.67%
22199945-0F58-426B-9961-D8AAB4BD1DC5,8,8,100.00%
A92D03CF-3F3D-4083-A06D-ABB190A8CEEA,2,1,50.00%
B68EE1E9-8A0B-483B-AE39-8D771BA84228,4,3,75.00%
DBCE897F-DF91-4615-B58B-7B00B919C41A,2,2,100.00%
E43E2439-171F-4EAC-9D0E-40C1AA6FA064,9,9,100.00%
E848F404-15B3-477D-87B9-BDBCCCD96F7D,0,0,0.00%
pic 10,2,1,50.00%
pic 9,6,4,66.67%
IMG_9720,8,4,50.00%
IMG_9721,15,11,73.33%
IMG_9723,9,6,66.67%
IMG_9722,7,3,42.86%
IMG_9726,5,4,80.00%
IMG_9729,17,12,70.59%
IMG_9733,17,15,88.24%
IMG_9740,6,3,50.00%
IMG_9742,6,5,83.33%
IMG_9743,8,7,87.50%
A76BF814-1823-4B17-BA5B-55F2783F11AB,6,6,100.00%
original_IMG_9699,2,0,0.00%
IMG_9700,2,0,0.00%
IMG_9701,2,0,0.00%
IMG_9703,5,4,80.00%
IMG_9704,11,11,100.00%
IMG_9705,2,0,0.00%
IMG_9706,2,2,100.00%
IMG_9707,2,0,0.00%

TOTAL / AVERAGE,339,267,78.76%
